编号,名称,分类,Emoji,描述,原始数据
209,"给日常物品分配MBTI","趣味整活","🏷️","马桶是ISTJ（一丝不苟），WiFi是ENFP（热情但不稳定），你的枕头是INFP（吸收所有情绪）。","{""name"":""给日常物品分配MBTI"",""category"":""趣味整活"",""emoji"":""🏷️"",""description"":""马桶是ISTJ（一丝不苟），WiFi是ENFP（热情但不稳定），你的枕头是INFP（吸收所有情绪）。""}"
210,"跟表情包的灵魂契合度","趣味整活","😭","那个“笑着流泪”的熊猫头，是不是你的人生写照？","{""name"":""跟表情包的灵魂契合度"",""category"":""趣味整活"",""emoji"":""😭"",""description"":""那个“笑着流泪”的熊猫头，是不是你的人生写照？""}"
211,"证明你和朋友是同一个人","趣味整活","👯","聊天记录里一半是“哈哈哈哈”，另一半是“你也是？？？”","{""name"":""证明你和朋友是同一个人"",""category"":""趣味整活"",""emoji"":""👯"",""description"":""聊天记录里一半是“哈哈哈哈”，另一半是“你也是？？？”""}"
212,"你的翻聊天记录流派","性格搞怪","🔍","从第一条翻到三天前，翻完又翻回来——你就是这样的人。","{""name"":""你的翻聊天记录流派"",""category"":""性格搞怪"",""emoji"":""🔍"",""description"":""从第一条翻到三天前，翻完又翻回来——你就是这样的人。""}"
213,"备忘录里的未发送内容","情感离谱","📓","写满了想说的话，最后都变成了“算了”。","{""name"":""备忘录里的未发送内容"",""category"":""情感离谱"",""emoji"":""📓"",""description"":""写满了想说的话，最后都变成了“算了”。""}"
214,"你的外卖连续剧","逆天知识","🎬","第一集：探索新店。第十集：还是那家黄焖鸡。大结局：泡面。","{""name"":""你的外卖连续剧"",""category"":""逆天知识"",""emoji"":""🎬"",""description"":""第一集：探索新店。第十集：还是那家黄焖鸡。大结局：泡面。""}"
215,"摸鱼时的搜索引擎记录","职场发疯","🌐","从“如何快速致富”到“附近哪家奶茶好喝”，记录了你跌宕起伏的职业生涯。","{""name"":""摸鱼时的搜索引擎记录"",""category"":""职场发疯"",""emoji"":""🌐"",""description"":""从“如何快速致富”到“附近哪家奶茶好喝”，记录了你跌宕起伏的职业生涯。""}"
216,"确诊为“已读不回”型人格","情感离谱","👁️‍🗨️","不是不想回，是手指它有自己的想法，比如点开，然后退出。","{""name"":""确诊为“已读不回”型人格"",""category"":""情感离谱"",""emoji"":""👁️‍🗨️"",""description"":""不是不想回，是手指它有自己的想法，比如点开，然后退出。""}"
217,"你的“算了”能量槽","性格搞怪","⚡","从“我要据理力争”到“算了算了”，只需要对方一个迷惑操作。","{""name"":""你的“算了”能量槽"",""category"":""性格搞怪"",""emoji"":""⚡"",""description"":""从“我要据理力争”到“算了算了”，只需要对方一个迷惑操作。""}"
218,"通过歌单诊断近期状态","逆天知识","🎧","全是伤感情歌——失恋了。全是电音——要加班了。儿歌循环——彻底疯了。","{""name"":""通过歌单诊断近期状态"",""category"":""逆天知识"",""emoji"":""🎧"",""description"":""全是伤感情歌——失恋了。全是电音——要加班了。儿歌循环——彻底疯了。""}"
219,"上辈子是驿站喂马的","玄学运势","🐎","这辈子对“马上就好”“在路上了”这种话，有刻在DNA里的PTSD。","{""name"":""上辈子是驿站喂马的"",""category"":""玄学运势"",""emoji"":""🐎"",""description"":""这辈子对“马上就好”“在路上了”这种话，有刻在DNA里的PTSD。""}"
220,"朋友群的潜水并截图大师","趣味整活","📸","不说话，但每一个梗图、每一段黑历史，你都默默保存了下来。","{""name"":""朋友群的潜水并截图大师"",""category"":""趣味整活"",""emoji"":""📸"",""description"":""不说话，但每一个梗图、每一段黑历史，你都默默保存了下来。""}"
221,"单身饭桶鉴定","性格搞怪","🍚","点外卖永远凑满减，吃不完的第二天热热接着吃，冰箱里永远有半盒剩菜","{""name"":""单身饭桶鉴定"",""category"":""性格搞怪"",""emoji"":""🍚"",""description"":""点外卖永远凑满减，吃不完的第二天热热接着吃，冰箱里永远有半盒剩菜""}"
222,"猫奴等级测试","性格搞怪","🐱","发工资先给猫买罐罐，自己啃泡面，手机相册一万张猫片没一张自拍","{""name"":""猫奴等级测试"",""category"":""性格搞怪"",""emoji"":""🐱"",""description"":""发工资先给猫买罐罐，自己啃泡面，手机相册一万张猫片没一张自拍""}"
223,"熬夜肝游戏人","性格搞怪","🎮","定闹钟起来清日常，打输了气的拍桌子，赢了能乐半小时，队友菜比自己输了还气","{""name"":""熬夜肝游戏人"",""category"":""性格搞怪"",""emoji"":""🎮"",""description"":""定闹钟起来清日常，打输了气的拍桌子，赢了能乐半小时，队友菜比自己输了还气""}"
224,"追星氪金能手","性格搞怪","💳","专辑买十张拆重复也开心，周边堆半墙，代言的产品就算用不上也要凑销量","{""name"":""追星氪金能手"",""category"":""性格搞怪"",""emoji"":""💳"",""description"":""专辑买十张拆重复也开心，周边堆半墙，代言的产品就算用不上也要凑销量""}"
225,"路边摊狙击手","性格搞怪","🍢","下班路上闻着味就能找到新开的炸串摊，哪家烤冷面多放酱门儿清","{""name"":""路边摊狙击手"",""category"":""性格搞怪"",""emoji"":""🍢"",""description"":""下班路上闻着味就能找到新开的炸串摊，哪家烤冷面多放酱门儿清""}"
226,"单身沙发焊死","趣味整活","🛋️","周末能在沙发上瘫一天，外卖到了才挪屁股，遥控器永远在伸手能碰到的地方","{""name"":""单身沙发焊死"",""category"":""趣味整活"",""emoji"":""🛋️"",""description"":""周末能在沙发上瘫一天，外卖到了才挪屁股，遥控器永远在伸手能碰到的地方""}"
227,"狗语八级学者","趣味整活","🐶","路上看见狗就想汪汪两声打招呼，能精准分辨自家狗叫是要吃饭还是要出门","{""name"":""狗语八级学者"",""category"":""趣味整活"",""emoji"":""🐶"",""description"":""路上看见狗就想汪汪两声打招呼，能精准分辨自家狗叫是要吃饭还是要出门""}"
228,"抽卡非酋认证","趣味整活","🎴","次次大保底，抽卡前洗手拜神没用，别人十连三黄你十连全R","{""name"":""抽卡非酋认证"",""category"":""趣味整活"",""emoji"":""🎴"",""description"":""次次大保底，抽卡前洗手拜神没用，别人十连三黄你十连全R""}"
229,"追星站姐代餐","趣味整活","📸","接机举着大炮比记者跑的快，修图比上班认真，爱豆发微博比自己中奖还激动","{""name"":""追星站姐代餐"",""category"":""趣味整活"",""emoji"":""📸"",""description"":""接机举着大炮比记者跑的快，修图比上班认真，爱豆发微博比自己中奖还激动""}"
230,"吃辣段位测评","趣味整活","🌶️","吃火锅要特辣，吸着鼻涕擦着汗还说不辣，第二天屁股疼才后悔嘴硬","{""name"":""吃辣段位测评"",""category"":""趣味整活"",""emoji"":""🌶️"",""description"":""吃火锅要特辣，吸着鼻涕擦着汗还说不辣，第二天屁股疼才后悔嘴硬""}"
231,"单身时长换算","逆天知识","⏳","单身的时间够看完三遍四大名著，熟练掌握一个人吃火锅不被收碗的技巧","{""name"":""单身时长换算"",""category"":""逆天知识"",""emoji"":""⏳"",""description"":""单身的时间够看完三遍四大名著，熟练掌握一个人吃火锅不被收碗的技巧""}"
232,"猫掉毛量计算","逆天知识","🧶","家里猫掉的毛攒起来能织三件毛衣，黑衣服永远沾着猫毛，出门拍半小时也拍不干净","{""name"":""猫掉毛量计算"",""category"":""逆天知识"",""emoji"":""🧶"",""description"":""家里猫掉的毛攒起来能织三件毛衣，黑衣服永远沾着猫毛，出门拍半小时也拍不干净""}"
233,"游戏按键磨损度","逆天知识","⌨️","键盘WASD键磨的发白，手柄摇杆掉皮，不用看也能精准按到技能键","{""name"":""游戏按键磨损度"",""category"":""逆天知识"",""emoji"":""⌨️"",""description"":""键盘WASD键磨的发白，手柄摇杆掉皮，不用看也能精准按到技能键""}"
234,"爱豆同款相似度","逆天知识","👕","能精准认出爱豆今天戴的帽子是三年前买的同款，路人扫一眼就能认出自家应援色","{""name"":""爱豆同款相似度"",""category"":""逆天知识"",""emoji"":""👕"",""description"":""能精准认出爱豆今天戴的帽子是三年前买的同款，路人扫一眼就能认出自家应援色""}"
235,"奶茶糖分计算师","逆天知识","🧋","喝一口就知道奶茶糖放多了还是少了，哪家珍珠煮的够糯哪家茶底涩门儿清","{""name"":""奶茶糖分计算师"",""category"":""逆天知识"",""emoji"":""🧋"",""description"":""喝一口就知道奶茶糖放多了还是少了，哪家珍珠煮的够糯哪家茶底涩门儿清""}"
236,"单身桃花转世","玄学运势","🌸","上辈子可能是个桃花树，这辈子全是烂桃花，正缘永远在别人的恋爱里","{""name"":""单身桃花转世"",""category"":""玄学运势"",""emoji"":""🌸"",""description"":""上辈子可能是个桃花树，这辈子全是烂桃花，正缘永远在别人的恋爱里""}"
237,"宠物前世身份","玄学运势","🐾","你家猫上辈子肯定是你祖宗，这辈子来讨债的，天天拆家你还得哄着","{""name"":""宠物前世身份"",""category"":""玄学运势"",""emoji"":""🐾"",""description"":""你家猫上辈子肯定是你祖宗，这辈子来讨债的，天天拆家你还得哄着""}"
238,"游戏皮肤运气","玄学运势","✨","抽皮肤前改ID换头像拜欧皇，最后还是用6块钱的原皮，限定永远跟你无缘","{""name"":""游戏皮肤运气"",""category"":""玄学运势"",""emoji"":""✨"",""description"":""抽皮肤前改ID换头像拜欧皇，最后还是用6块钱的原皮，限定永远跟你无缘""}"
239,"追星缘分指数","玄学运势","💫","抢票永远陪跑，演唱会永远赶上你加班，同城活动你永远在外地出差","{""name"":""追星缘分指数"",""category"":""玄学运势"",""emoji"":""💫"",""description"":""抢票永远陪跑，演唱会永远赶上你加班，同城活动你永远在外地出差""}"
240,"吃货财运关联","玄学运势","🍜","发工资当天必想吃顿好的，吃完就发现这个月又要吃土，钱全花在嘴上了","{""name"":""吃货财运关联"",""category"":""玄学运势"",""emoji"":""🍜"",""description"":""发工资当天必想吃顿好的，吃完就发现这个月又要吃土，钱全花在嘴上了""}"
241,"单身等死型恋爱","情感离谱","🤷","嘴上喊着要对象，有人撩你你就跑，朋友圈天天看别人谈恋爱，自己就是不行动","{""name"":""单身等死型恋爱"",""category"":""情感离谱"",""emoji"":""🤷"",""description"":""嘴上喊着要对象，有人撩你你就跑，朋友圈天天看别人谈恋爱，自己就是不行动""}"
242,"宠物争宠大师","情感离谱","😤","看见对象撸别人家的猫就吃醋，自家猫跟对象亲你还得跟猫置气","{""name"":""宠物争宠大师"",""category"":""情感离谱"",""emoji"":""😤"",""description"":""看见对象撸别人家的猫就吃醋，自家猫跟对象亲你还得跟猫置气""}"
243,"游戏cp绝缘体","情感离谱","💔","打游戏遇见的要么是小学生要么是已婚大叔，处cp永远处成兄弟","{""name"":""游戏cp绝缘体"",""category"":""情感离谱"",""emoji"":""💔"",""description"":""打游戏遇见的要么是小学生要么是已婚大叔，处cp永远处成兄弟""}"
244,"追星梦女等级","情感离谱","💌","刷到爱豆物料能脑补出十万字同人文，连以后孩子叫什么都想好了","{""name"":""追星梦女等级"",""category"":""情感离谱"",""emoji"":""💌"",""description"":""刷到爱豆物料能脑补出十万字同人文，连以后孩子叫什么都想好了""}"
245,"饭搭子绝交阈值","情感离谱","🙅","饭搭子敢抢你碗里最后一块肉，当场就能绝交半小时，给你买杯奶茶又和好","{""name"":""饭搭子绝交阈值"",""category"":""情感离谱"",""emoji"":""🙅"",""description"":""饭搭子敢抢你碗里最后一块肉，当场就能绝交半小时，给你买杯奶茶又和好""}"
246,"带薪撸鱼达人","职场发疯","🐟","上班没事就刷宠物视频，老板过来就切到报表，手机屏保是自家猫","{""name"":""带薪撸鱼达人"",""category"":""职场发疯"",""emoji"":""🐟"",""description"":""上班没事就刷宠物视频，老板过来就切到报表，手机屏保是自家猫""}"
247,"上班摸鱼打游戏","职场发疯","🕹️","电脑开着工作界面，手机在底下打排位，队友坑了不敢骂出声憋的脸通红","{""name"":""上班摸鱼打游戏"",""category"":""职场发疯"",""emoji"":""🕹️"",""description"":""电脑开着工作界面，手机在底下打排位，队友坑了不敢骂出声憋的脸通红""}"
248,"工位追星隐蔽者","职场发疯","🤫","工位上摆着爱豆小卡，电脑壁纸是爱豆，听见同事说爱豆坏话当场就能阴阳怪气","{""name"":""工位追星隐蔽者"",""category"":""职场发疯"",""emoji"":""🤫"",""description"":""工位上摆着爱豆小卡，电脑壁纸是爱豆，听见同事说爱豆坏话当场就能阴阳怪气""}"
249,"带薪蹲点抢外卖","职场发疯","🥡","十点半就开始刷外卖平台，凑满减凑半小时，下班前五分钟就盯着外卖员定位","{""name"":""带薪蹲点抢外卖"",""category"":""职场发疯"",""emoji"":""🥡"",""description"":""十点半就开始刷外卖平台，凑满减凑半小时，下班前五分钟就盯着外卖员定位""}"
250,"下班光速消失术","职场发疯","🏃","下班铃一响电脑都来不及关，要么赶着回家喂猫要么赶着上线打游戏，多待一秒都亏","{""name"":""下班光速消失术"",""category"":""职场发疯"",""emoji"":""🏃"",""description"":""下班铃一响电脑都来不及关，要么赶着回家喂猫要么赶着上线打游戏，多待一秒都亏""}"
251,"单身冰箱收藏家","性格搞怪","🧊","冰箱里永远有半瓶快乐水、半盒冰淇淋、三罐没开的啤酒，就是没有新鲜蔬菜","{""name"":""单身冰箱收藏家"",""category"":""性格搞怪"",""emoji"":""🧊"",""description"":""冰箱里永远有半瓶快乐水、半盒冰淇淋、三罐没开的啤酒，就是没有新鲜蔬菜""}"
252,"仓鼠囤粮爱好者","性格搞怪","🐹","给宠物囤的粮能吃半年，自己的零食也塞满抽屉，就怕哪天突然断货","{""name"":""仓鼠囤粮爱好者"",""category"":""性格搞怪"",""emoji"":""🐹"",""description"":""给宠物囤的粮能吃半年，自己的零食也塞满抽屉，就怕哪天突然断货""}"
253,"游戏嘴强王者","性格搞怪","👄","打输了全怪队友菜，自己死了就是网络卡，嘴上骚话比操作秀","{""name"":""游戏嘴强王者"",""category"":""性格搞怪"",""emoji"":""👄"",""description"":""打输了全怪队友菜，自己死了就是网络卡，嘴上骚话比操作秀""}"
254,"追星物料考古家","性格搞怪","🔍","能把爱豆十年前的微博翻出来，连他小学参加的唱歌比赛视频都能挖到","{""name"":""追星物料考古家"",""category"":""性格搞怪"",""emoji"":""🔍"",""description"":""能把爱豆十年前的微博翻出来，连他小学参加的唱歌比赛视频都能挖到""}"
255,"外卖口味执念者","性格搞怪","🥡","点外卖永远点同一家同一个口味，老板都能记住你不吃葱多放辣","{""name"":""外卖口味执念者"",""category"":""性格搞怪"",""emoji"":""🥡"",""description"":""点外卖永远点同一家同一个口味，老板都能记住你不吃葱多放辣""}"
256,"单身情侣观察员","趣味整活","👀","在街上看见情侣吵架能停下来看十分钟，比看电视剧还入迷","{""name"":""单身情侣观察员"",""category"":""趣味整活"",""emoji"":""👀"",""description"":""在街上看见情侣吵架能停下来看十分钟，比看电视剧还入迷""}"
257,"宠物表情包大户","趣味整活","😼","聊天表情包全是自家宠物的黑照，跟人吵架都发猫的表情包怼人","{""name"":""宠物表情包大户"",""category"":""趣味整活"",""emoji"":""😼"",""description"":""聊天表情包全是自家宠物的黑照，跟人吵架都发猫的表情包怼人""}"
258,"新游尝鲜韭菜","趣味整活","🌱","新游戏上线第一个下载，充完首充玩三天就卸载，手机里永远有三个没玩完的新游","{""name"":""新游尝鲜韭菜"",""category"":""趣味整活"",""emoji"":""🌱"",""description"":""新游戏上线第一个下载，充完首充玩三天就卸载，手机里永远有三个没玩完的新游""}"
259,"应援词背诵大师","趣味整活","📣","应援词比公司年会发言稿背的还熟，爱豆的歌歌词倒背如流，上班要背的东西记不住","{""name"":""应援词背诵大师"",""category"":""趣味整活"",""emoji"":""📣"",""description"":""应援词比公司年会发言稿背的还熟，爱豆的歌歌词倒背如流，上班要背的东西记不住""}"
260,"隐藏菜单挖掘者","趣味整活","🍔","每家快餐店的隐藏菜单都知道，去奶茶店能点出店员都没听过的搭配","{""name"":""隐藏菜单挖掘者"",""category"":""趣味整活"",""emoji"":""🍔"",""description"":""每家快餐店的隐藏菜单都知道，去奶茶店能点出店员都没听过的搭配""}"
261,"单身脱单flag寿命","逆天知识","🚩","每次说“今年一定要脱单”的flag，平均寿命不超过三天，转头就忘了","{""name"":""单身脱单flag寿命"",""category"":""逆天知识"",""emoji"":""🚩"",""description"":""每次说“今年一定要脱单”的flag，平均寿命不超过三天，转头就忘了""}"
262,"遛狗步数换算","逆天知识","🚶","每天遛狗的步数比你上班走的还多，一年下来能绕小区走五十圈","{""name"":""遛狗步数换算"",""category"":""逆天知识"",""emoji"":""🚶"",""description"":""每天遛狗的步数比你上班走的还多，一年下来能绕小区走五十圈""}"
263,"游戏喷人速度测试","逆天知识","⚡","打游戏喷人的打字速度比上班写方案快三倍，一分钟能打两百字不带重样的","{""name"":""游戏喷人速度测试"",""category"":""逆天知识"",""emoji"":""⚡"",""description"":""打游戏喷人的打字速度比上班写方案快三倍，一分钟能打两百字不带重样的""}"
264,"爱豆生日记忆力","逆天知识","🎂","能准确记住爱豆的生日、出道日、甚至猫的生日，自己爸妈的生日得翻备忘录","{""name"":""爱豆生日记忆力"",""category"":""逆天知识"",""emoji"":""🎂"",""description"":""能准确记住爱豆的生日、出道日、甚至猫的生日，自己爸妈的生日得翻备忘录""}"
265,"火锅蘸料配方师","逆天知识","🥘","调的火锅蘸料全桌人都要抄配方，谁要是往你蘸料里放香菜能跟他急","{""name"":""火锅蘸料配方师"",""category"":""逆天知识"",""emoji"":""🥘"",""description"":""调的火锅蘸料全桌人都要抄配方，谁要是往你蘸料里放香菜能跟他急""}"
266,"相亲局话术大师","趣味整活","🎤","从星座聊到宠物，从工作聊到旅行，就是聊不到点上。","{""name"":""相亲局话术大师"",""category"":""趣味整活"",""emoji"":""🎤"",""description"":""从星座聊到宠物，从工作聊到旅行，就是聊不到点上。""}"
267,"催婚压力测试仪","职场发疯","⏰","过年回家，亲戚的每一句话都是对血压和耐心的双重考验。","{""name"":""催婚压力测试仪"",""category"":""职场发疯"",""emoji"":""⏰"",""description"":""过年回家，亲戚的每一句话都是对血压和耐心的双重考验。""}"
268,"前任考古学家","情感离谱","⛏️","深夜翻遍所有社交平台，只为确认对方过得没自己好。","{""name"":""前任考古学家"",""category"":""情感离谱"",""emoji"":""⛏️"",""description"":""深夜翻遍所有社交平台，只为确认对方过得没自己好。""}"
269,"恋爱脑间歇性发作","性格搞怪","🧠","上一秒看偶像剧甜到打滚，下一秒觉得男人只会影响拔刀速度。","{""name"":""恋爱脑间歇性发作"",""category"":""性格搞怪"",""emoji"":""🧠"",""description"":""上一秒看偶像剧甜到打滚，下一秒觉得男人只会影响拔刀速度。""}"
270,"脱单锦鲤绝缘体","玄学运势","🐟","朋友都脱单了，你连个暧昧对象都养不活。","{""name"":""脱单锦鲤绝缘体"",""category"":""玄学运势"",""emoji"":""🐟"",""description"":""朋友都脱单了，你连个暧昧对象都养不活。""}"
271,"相亲对象分类学","逆天知识","🏷️","通过三句话，就能把对方精准归类到‘奇葩’或‘还行’文件夹。","{""name"":""相亲对象分类学"",""category"":""逆天知识"",""emoji"":""🏷️"",""description"":""通过三句话，就能把对方精准归类到‘奇葩’或‘还行’文件夹。""}"
272,"朋友圈官宣拖延症","情感离谱","⏳","恋爱半年了，合照还在手机相册里吃灰。","{""name"":""朋友圈官宣拖延症"",""category"":""情感离谱"",""emoji"":""⏳"",""description"":""恋爱半年了，合照还在手机相册里吃灰。""}"
273,"妈见打型单身贵族","性格搞怪","👑","在家呼吸都是错，因为‘别人家孩子’都二胎了。","{""name"":""妈见打型单身贵族"",""category"":""性格搞怪"",""emoji"":""👑"",""description"":""在家呼吸都是错，因为‘别人家孩子’都二胎了。""}"
274,"恋爱废物鉴定","趣味整活","🗑️","擅长把天聊死，把暧昧对象处成兄弟。","{""name"":""恋爱废物鉴定"",""category"":""趣味整活"",""emoji"":""🗑️"",""description"":""擅长把天聊死，把暧昧对象处成兄弟。""}"
275,"月老线打结专家","玄学运势","🧶","怀疑上辈子得罪了月老，这辈子红线全是死结。","{""name"":""月老线打结专家"",""category"":""玄学运势"",""emoji"":""🧶"",""description"":""怀疑上辈子得罪了月老，这辈子红线全是死结。""}"
276,"前任的现任观察员","情感离谱","👀","不是放不下，就是想看看他找了个什么样的‘替代品’。","{""name"":""前任的现任观察员"",""category"":""情感离谱"",""emoji"":""👀"",""description"":""不是放不下，就是想看看他找了个什么样的‘替代品’。""}"
277,"相亲简历优化师","职场发疯","📄","把‘爱打游戏’写成‘擅长策略规划’，把‘宅’写成‘享受居家生活’。","{""name"":""相亲简历优化师"",""category"":""职场发疯"",""emoji"":""📄"",""description"":""把‘爱打游戏’写成‘擅长策略规划’，把‘宅’写成‘享受居家生活’。""}"
278,"催婚话术反侦察","逆天知识","🕵️","熟练掌握‘工作忙’‘随缘’‘还没遇到合适的’等标准答案。","{""name"":""催婚话术反侦察"",""category"":""逆天知识"",""emoji"":""🕵️"",""description"":""熟练掌握‘工作忙’‘随缘’‘还没遇到合适的’等标准答案。""}"
279,"分手后遗症门诊","情感离谱","🏥","症状包括但不限于：听歌对号入座、看啥都像他、深夜emo。","{""name"":""分手后遗症门诊"",""category"":""情感离谱"",""emoji"":""🏥"",""description"":""症状包括但不限于：听歌对号入座、看啥都像他、深夜emo。""}"
280,"孤寡青蛙转世","玄学运势","🐸","算命的说你命里缺桃花，你怀疑缺的是整个春天。","{""name"":""孤寡青蛙转世"",""category"":""玄学运势"",""emoji"":""🐸"",""description"":""算命的说你命里缺桃花，你怀疑缺的是整个春天。""}"
281,"恋爱演习指挥官","性格搞怪","🎮","在脑子里已经和crush过完了一生，现实中没说过一句话。","{""name"":""恋爱演习指挥官"",""category"":""性格搞怪"",""emoji"":""🎮"",""description"":""在脑子里已经和crush过完了一生，现实中没说过一句话。""}"
282,"相亲KPI考核员","职场发疯","📊","本月相亲次数达标，但‘成交率’为零，急需复盘。","{""name"":""相亲KPI考核员"",""category"":""职场发疯"",""emoji"":""📊"",""description"":""本月相亲次数达标，但‘成交率’为零，急需复盘。""}"
283,"前任遗物清理师","情感离谱","🧹","清空购物车容易，清空回忆里的购物车链接很难。","{""name"":""前任遗物清理师"",""category"":""情感离谱"",""emoji"":""🧹"",""description"":""清空购物车容易，清空回忆里的购物车链接很难。""}"
284,"注孤生体质检测","趣味整活","🧪","喜欢的人不喜欢你，喜欢你的人你觉得不行。","{""name"":""注孤生体质检测"",""category"":""趣味整活"",""emoji"":""🧪"",""description"":""喜欢的人不喜欢你，喜欢你的人你觉得不行。""}"
285,"恋爱经济学入门","逆天知识","💰","计算恋爱的时间成本、情绪价值与单身自由的性价比。","{""name"":""恋爱经济学入门"",""category"":""逆天知识"",""emoji"":""💰"",""description"":""计算恋爱的时间成本、情绪价值与单身自由的性价比。""}"
286,"桃花运风水大师","玄学运势","🌀","尝试换头像、改签名、转发锦鲤，桃花依旧在别处盛开。","{""name"":""桃花运风水大师"",""category"":""玄学运势"",""emoji"":""🌀"",""description"":""尝试换头像、改签名、转发锦鲤，桃花依旧在别处盛开。""}"
287,"嘴硬心软型选手","性格搞怪","💪","嘴上说着‘一个人挺好’，刷到情侣视频还是会停顿三秒。","{""name"":""嘴硬心软型选手"",""category"":""性格搞怪"",""emoji"":""💪"",""description"":""嘴上说着‘一个人挺好’，刷到情侣视频还是会停顿三秒。""}"
288,"办公室恋情观察家","职场发疯","📝","对同事的恋爱动态了如指掌，自己的感情线一片空白。","{""name"":""办公室恋情观察家"",""category"":""职场发疯"",""emoji"":""📝"",""description"":""对同事的恋爱动态了如指掌，自己的感情线一片空白。""}"
289,"暧昧期ICU重症","情感离谱","💀","对方一句话能让你上天堂，下一句就能让你下地狱。","{""name"":""暧昧期ICU重症"",""category"":""情感离谱"",""emoji"":""💀"",""description"":""对方一句话能让你上天堂，下一句就能让你下地狱。""}"
290,"恋爱剧本杀编剧","趣味整活","✍️","给每次心动都脑补了八十集连续剧，实际播出时长：三分钟。","{""name"":""恋爱剧本杀编剧"",""category"":""趣味整活"",""emoji"":""✍️"",""description"":""给每次心动都脑补了八十集连续剧，实际播出时长：三分钟。""}"
291,"催婚抗压训练营","性格搞怪","🛡️","练就了左耳进右耳出，表面点头称是，内心毫无波澜的神功。","{""name"":""催婚抗压训练营"",""category"":""性格搞怪"",""emoji"":""🛡️"",""description"":""练就了左耳进右耳出，表面点头称是，内心毫无波澜的神功。""}"
292,"分手大师速成班","逆天知识","🎓","通过分析朋友的分手案例，总结出‘如何体面离开’的一百种方法。","{""name"":""分手大师速成班"",""category"":""逆天知识"",""emoji"":""🎓"",""description"":""通过分析朋友的分手案例，总结出‘如何体面离开’的一百种方法。""}"
293,"正缘迷路中","玄学运势","🧭","塔罗牌说你正缘在路上，你怀疑他用的高德地图，而你用的是百度。","{""name"":""正缘迷路中"",""category"":""玄学运势"",""emoji"":""🧭"",""description"":""塔罗牌说你正缘在路上，你怀疑他用的高德地图，而你用的是百度。""}"
294,"恋爱内耗冠军","情感离谱","🏆","还没开始谈，就已经在脑子里分了一百次手。","{""name"":""恋爱内耗冠军"",""category"":""情感离谱"",""emoji"":""🏆"",""description"":""还没开始谈，就已经在脑子里分了一百次手。""}"
295,"相亲尬聊记录员","职场发疯","📼","回家后能一字不差地复述今晚的尴尬对话，供自己复盘嘲笑。","{""name"":""相亲尬聊记录员"",""category"":""职场发疯"",""emoji"":""📼"",""description"":""回家后能一字不差地复述今晚的尴尬对话，供自己复盘嘲笑。""}"
296,"自我攻略型选手","性格搞怪","🚩","对方看了你一眼，你连孩子名字都想好了。","{""name"":""自我攻略型选手"",""category"":""性格搞怪"",""emoji"":""🚩"",""description"":""对方看了你一眼，你连孩子名字都想好了。""}"
297,"前任大数据分析师","趣味整活","📈","通过微博点赞、网易云歌单，精准推测对方的情感状态。","{""name"":""前任大数据分析师"",""category"":""趣味整活"",""emoji"":""📈"",""description"":""通过微博点赞、网易云歌单，精准推测对方的情感状态。""}"
298,"恋爱防沉迷系统","逆天知识","🛑","设置心动上限，一旦超标自动启动‘人间清醒’模式。","{""name"":""恋爱防沉迷系统"",""category"":""逆天知识"",""emoji"":""🛑"",""description"":""设置心动上限，一旦超标自动启动‘人间清醒’模式。""}"
299,"月老黑名单VIP","玄学运势","🚫","去庙里求姻缘，连签筒都跟你作对，全是下下签。","{""name"":""月老黑名单VIP"",""category"":""玄学运势"",""emoji"":""🚫"",""description"":""去庙里求姻缘，连签筒都跟你作对，全是下下签。""}"
300,"塑料爱情质检员","情感离谱","🔍","能一眼看穿朋友圈秀恩爱合照里的僵硬与勉强。","{""name"":""塑料爱情质检员"",""category"":""情感离谱"",""emoji"":""🔍"",""description"":""能一眼看穿朋友圈秀恩爱合照里的僵硬与勉强。""}"
301,"职场寡王","职场发疯","👑","公司里唯一一个不用在情人节和七夕请假的员工。","{""name"":""职场寡王"",""category"":""职场发疯"",""emoji"":""👑"",""description"":""公司里唯一一个不用在情人节和七夕请假的员工。""}"
302,"恋爱系统版本过低","趣味整活","📱","别人的恋爱是偶像剧，你的恋爱像上世纪黑白默片，还卡带。","{""name"":""恋爱系统版本过低"",""category"":""趣味整活"",""emoji"":""📱"",""description"":""别人的恋爱是偶像剧，你的恋爱像上世纪黑白默片，还卡带。""}"
303,"催婚免疫球蛋白","性格搞怪","💉","对‘什么时候结婚’‘眼光不要太高’等病毒性话语产生抗体。","{""name"":""催婚免疫球蛋白"",""category"":""性格搞怪"",""emoji"":""💉"",""description"":""对‘什么时候结婚’‘眼光不要太高’等病毒性话语产生抗体。""}"
304,"失恋废墟重建师","情感离谱","🏗️","一边捡拾破碎的自我，一边试图用新爱好把生活填满。","{""name"":""失恋废墟重建师"",""category"":""情感离谱"",""emoji"":""🏗️"",""description"":""一边捡拾破碎的自我，一边试图用新爱好把生活填满。""}"
305,"相亲对象图鉴收集","逆天知识","📚","见过的奇葩多了，能写一本《人类迷惑行为大赏·相亲篇》。","{""name"":""相亲对象图鉴收集"",""category"":""逆天知识"",""emoji"":""📚"",""description"":""见过的奇葩多了，能写一本《人类迷惑行为大赏·相亲篇》。""}"
