编号,名称,分类,Emoji,描述,相似组,建议操作
494,购物车囤货大师,趣味整活,🛍️,购物车加了八十件东西，每次大促才舍得删两件，剩下的继续躺一年,,
495,下班失联专业户,职场发疯,📴,下班打卡第一件事关工作通知，领导发消息第二天早上才说“不好意思刚看见”,,
496,emo秒删选手,情感离谱,🗑️,凌晨两点发了条伤感朋友圈，七点醒了光速删掉，生怕同事看见,,
497,deadline战神,性格搞怪,⚔️,平时摸鱼摸得欢，截止日前一天能爆发出平时三倍的工作效率,,
498,外卖满减计算器,逆天知识,🧮,点外卖能精准凑到满减门槛，多一分钱都不愿意花,,
499,上辈子是囤货松鼠,玄学运势,🐿️,家里纸巾囤了半年的量，洗衣液堆了三瓶，不囤东西就没安全感,,
500,开会走神选手,职场发疯,🤤,领导讲项目的时候你在想晚上吃什么，散会了连主题都记不住,,
501,深夜回忆杀患者,情感离谱,📸,大半夜翻三年前的朋友圈、QQ空间，边看边尴尬到抠脚,,
502,退货小能手,趣味整活,🚚,十个快递能退八个，快递员都知道你家地址上门取件不用打电话,G055,
503,选择性拖延症,性格搞怪,🤷,工作拖到天荒地老，朋友喊吃饭跑的比谁都快,,
504,外卖差评鉴赏家,逆天知识,⭐,点外卖先看差评，能从差评里准确判断这家是不是真的难吃,,
505,摸鱼转世锦鲤,玄学运势,🐠,每次摸鱼刷视频都刚好避开领导查岗，运气好到离谱,,
506,上班带饭零存活,职场发疯,🍱,前一天晚上信誓旦旦要带饭，早上起晚了直接扔冰箱，转头还是点外卖,,
507,网购买同款狂魔,性格搞怪,👕,碰到好穿的袜子直接买五双同款，好用的笔一次性买十根,,
508,深夜哲学大师,趣味整活,🤔,一到晚上就思考人生意义、宇宙起源，天亮了照样爬起来上班,,
509,古代拖延症身份,逆天知识,🏯,放在古代你就是迟迟不肯上朝的皇帝，百官等你两小时还在被窝,,
510,下辈子当收租婆,玄学运势,💸,这辈子班都上够了，下辈子就想每天躺着收租，不用看领导脸色,,
511,外卖催单大师,情感离谱,📞,外卖迟到五分钟就开始催单，骑手还有两百米就站在楼下等,,


# ===== 相似组汇总 =====
组号,组内条目数,条目编号列表,涉及名称
G001,4,"#1, #52, #98, #455",塑料友谊防弹级 / 塑料友情防弹级 / 塑料友情防弹等级
G002,4,"#2, #53, #99, #464",领带薪拉屎冠军 / 带薪拉屎冠军
G003,6,"#3, #54, #100, #144, #241, #287",废话大师鉴定
G004,10,"#4, #18, #57, #101, #109, #145, #200, #239, #254, #290",前世是什么外卖 / 前世是什么部门什么角色 / 前世是什么部门的 / 前世是哪个部门的 / 前世是什么部门角色
G005,6,"#5, #56, #104, #150, #246, #306",用睡觉姿势推测历史地位
G006,5,"#6, #60, #102, #240, #289",在同事群聊备注里叫什么 / 在同事群聊备注里
G007,6,"#7, #59, #107, #153, #244, #295",证明今天的班白上了
G008,6,"#8, #58, #105, #146, #243, #300",恋爱中的离谱角色
G009,6,"#9, #62, #114, #149, #249, #288",QQ号转世成什么 / 你的QQ号转世成什么
G010,4,"#11, #63, #110, #320",跟历史人物的适配度 / 与历史人物的适配度
G011,5,"#12, #61, #111, #181, #315",前世的未了微信好友申请 / 前世未了的微信好友申请
G012,4,"#13, #112, #258, #316",在同事眼里是什么人设 / 在同事眼里的人设 / 在同事眼里是什么奇怪人设
G013,6,"#14, #55, #106, #175, #245, #299",投胎成什么家用电器
G014,3,"#17, #115, #260",用奶茶配料测性格 / 用奶茶配料看性格
G015,2,"#19, #389",恋爱脑切除手术恢复期 / 恋爱脑切除手术
G016,2,"#20, #179",你的互联网人格
G017,3,"#30, #135, #182",友情里的工具人型号 / 友情里的工具人指数 / 友情中的工具人指数
G018,2,"#36, #48",你是哪种会议室状态 / 你是哪种会议室茶水
G019,2,"#50, #95",你的幽默感是什么格式 / 你的幽默感是什么方言
G020,6,"#51, #108, #143, #208, #238, #286",你的精神宠物 / 你的精神宠物是什么 / 你的精神年假
G021,2,"#64, #103",确诊为WiFi信号 / 确诊为Wi-Fi信号
G022,2,"#65, #138",你的大脑后台程序
G023,2,"#70, #137",确诊为二手市场
G024,2,"#75, #163",上辈子是什么动物 / 上辈子是什么部门的
G025,2,"#94, #113",确诊为过期罐头 / 确诊为过期酸奶
G026,3,"#124, #189, #279",带薪如厕时间管理大师 / 上班如厕时间管理大师
G027,2,"#125, #166",确诊为路由器
G028,3,"#136, #226, #330",你的工位风水怎么样 / 你的工位风水
G029,2,"#142, #183",职场隐身术修炼等级 / 职场隐身术等级
G030,3,"#147, #255, #302",工位上的神秘失踪事件 / 工位神秘失踪事件
G031,3,"#148, #248, #291",慢性待机 / 慢性待机确诊 / 慢性待机综合症
G032,3,"#151, #259, #309",下辈子投胎成什么岗位 / 下辈子投胎什么岗位
G033,4,"#152, #227, #242, #296",社交电池容量 / 周末社交电池容量 / 你的社交电池容量
G034,3,"#154, #264, #318",床头水杯数量 / 床头水杯数量评级
G035,2,"#157, #322",灵气复苏后你的本体 / 灵气复苏后你的天赋
G036,4,"#158, #209, #252, #301",塑料友情鉴定 / 职场塑料友情鉴定 / 塑料友情材质鉴定
G037,3,"#165, #261, #303",下班前最后五分钟
G038,2,"#167, #256",你的表情包灵魂伴侣
G039,2,"#174, #218",你的外卖人格 / 周末外卖人格
G040,2,"#180, #278",通过歌单诊断人生阶段 / 通过歌单看人生阶段
G041,3,"#191, #273, #323",周一早八的怨气 / 周一早八的怨气实体化
G042,2,"#192, #212",周末失忆症 / 周末焦虑症
G043,2,"#194, #471",摸鱼时间管理大师
G044,2,"#198, #461",会议灵魂出窍 / 开会灵魂出窍
G045,2,"#199, #213",你的摸鱼流派 / 你的摸鱼搭子
G046,2,"#217, #228",你的职场人设 / 你的职场替身
G047,2,"#250, #294",开会时的真实精神状态
G048,2,"#262, #325",你的网络人格分裂指数
G049,2,"#263, #310",对暗恋对象的表达方式
G050,2,"#266, #297",你跟历史人物的共同点 / 跟历史人物的共同点
G051,2,"#268, #312",给日常物品分配MBTI
G052,2,"#272, #307",你是哪个小众领域专家 / 你是哪个小众领域民间专家
G053,2,"#293, #470",深夜矫情等级 / 深夜矫情冠军
G054,2,"#454, #484",暗恋等死型选手
G055,2,"#480, #502",凑单小能手 / 退货小能手
